id,item_id,type,start_time,end_time,drop_ids,title_res,amount_coordinate,bg_res,is_mail,mail_type,is_show,clear_cycle,clear_time,prize_skip,mission_show_prize,use_animation,goto_to_mall,can_ten_draws,can_get_rewards,goto_page,extra_bonus,bonus_percent
1,100001,1,2019-01-09 00:00:00,2019-02-25 23:59:59,"149:672,150:2,299:672,300:3,449:672,450:4,599:672,600:5,749:672,750:6,899:672,900:7,998:672,999:10,1049:672,1050:8,1199:672,1200:9,3000:672",98cc0f4b5d05aa89_draw_190118004.png,"-530,-337",aa09cd06b6935a8a_draw_190118005.jpg,0,0,1,0,0,,0,0,0,1,0,0,,0
2,0,1,2019-01-09 00:00:00,2019-02-18 23:59:59,"4:297,5:298",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
3,0,1,2019-01-09 00:00:00,2019-02-18 23:59:59,"4:297,5:298",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
4,0,1,2019-01-09 00:00:00,2019-02-18 23:59:59,"4:297,5:298",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
5,100001,1,2017-01-01 00:00:00,2017-01-07 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170120.jpg,0,0,1,0,0,,0,0,0,0,0,0,,0
6,100001,1,2017-01-01 00:00:00,2017-01-11 23:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170108.jpg,0,0,1,0,0,,0,0,0,0,0,0,,0
7,100001,1,2017-01-23 00:00:00,2017-02-26 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"194,265",draw_content_170124.jpg,0,0,1,0,0,,0,0,0,0,0,0,,0
8,100002,1,2017-03-14 00:00:00,2017-03-22 00:00:00,100:35,draw_title_170120.png,"194,265",draw_content_170124.jpg,0,0,1,0,0,,0,1,1,0,0,0,,0
9,100002,1,2017-03-14 00:00:00,2017-03-22 00:00:00,100:36,draw_title_170120.png,"194,265",draw_content_170124.jpg,0,0,1,0,0,,0,1,1,0,0,0,,0
11,0,1,2017-01-23 00:00:00,2017-02-23 10:00:00,"10:11,35:12,45:13,50:14",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
12,0,1,2017-01-23 00:00:00,2017-02-23 10:00:00,"10:21,35:22,45:23,50:24",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
13,0,1,2017-01-23 00:00:00,2017-02-23 10:00:00,"10:31,35:32,45:33,50:34",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
14,0,1,2017-03-14 00:00:00,2017-03-16 00:00:00,"10:31,35:32,45:33,50:34",draw_title_170120.png,"0,0",draw_content_170124.jpg,0,0,2,1,0,,62,0,0,0,0,0,,0
21,100041,2,2022-05-03 00:00:00,2022-05-30 23:59:59,100:40,ed542815d4401a35_draw_200518165924.png,"-642,-118",79c26418e645f8a2_draw_190505165848.jpg,0,0,1,0,0,,0,1,1,0,0,0,,0
30,0,1,2017-05-13 00:00:00,2017-05-19 23:59:59,"100:50,150:51,200:52,1000:53,1001:50",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,600:1001,600,0,0,0,0,0,,0
31,0,1,2017-05-13 00:00:00,2017-05-19 23:59:59,"100:54,150:55,200:56,1000:57,1001:54",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,601:1001,601,0,0,0,0,0,,0
32,0,1,2017-05-13 00:00:00,2017-05-19 23:59:59,"100:58,150:59,200:60,1000:61,1001:58",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,602:1001,602,0,0,0,0,0,,0
33,0,1,2017-05-13 00:00:00,2017-05-19 23:59:59,"150:62,200:63,250:64,300:65,1000:66,1001:62",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,603:1001,603,0,0,0,0,0,,0
34,0,1,2017-05-13 00:00:00,2017-05-19 23:59:59,"150:67,200:68,250:69,300:70,1000:71,1001:67",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,604:1001,604,0,0,0,0,0,,0
35,0,1,2017-05-13 00:00:00,2017-05-19 23:59:59,"150:72,200:73,250:74,300:75,1000:76,1001:72",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,605:1001,605,0,0,0,0,0,,0
38,100003,1,2018-11-07 00:00:00,2018-12-17 23:59:59,"98:101,99:102,500:101",7312c3f13cc81779_draw_181109001.png,"-633,-245",d60d14d1b97350be_draw_181122003.jpg,0,0,1,0,0,,0,0,0,1,0,0,,0
39,0,1,2018-11-07 00:00:00,2018-12-10 23:59:59,"3:103,4:104",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
40,0,1,2018-11-07 00:00:00,2018-12-10 23:59:59,"3:103,4:104",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
41,0,1,2018-11-07 00:00:00,2018-12-10 23:59:59,"2:103,3:104",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
42,0,1,2018-11-07 00:00:00,2018-12-10 23:59:59,"2:103,3:104",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
51,100004,1,2019-04-25 00:00:00,2019-06-03 23:59:59,"249:111,250:112,499:111,500:113,749:111,750:114,776:111,777:115,999:111,1000:116,3000:111",d45a5fc412cc77d6_draw_190426111648.png,"-530,-359",102f33a72cbc4629_draw_190426111648.jpg,0,0,1,0,0,,0,0,0,1,0,0,,0
52,0,1,2019-04-25 00:00:00,2019-05-27 23:59:59,"50:117,51:118",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
53,0,1,2017-07-27 11:00:00,2017-08-24 10:00:00,"20:117,21:118",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
54,0,1,2017-07-27 11:00:00,2017-08-24 10:00:00,"20:117,21:118",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
55,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"100:121,150:122,200:123,1000:124,1001:121",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,90:1001,90,0,0,0,0,0,,0
56,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"100:125,150:126,200:127,1000:128,1001:125",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,91:1001,91,0,0,0,0,0,,0
57,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"100:129,150:130,200:131,1000:132,1001:129",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,92:1001,92,0,0,0,0,0,,0
58,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"150:133,200:134,250:135,300:136,1000:137,1001:133",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,93:1001,93,0,0,0,0,0,,0
59,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"150:138,200:139,250:140,300:141,1000:142,1001:138",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,94:1001,94,0,0,0,0,0,,0
60,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"150:143,200:144,250:145,300:146,1000:147,1001:143",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,95:1001,95,0,0,0,0,0,,0
61,0,1,2017-11-04 00:00:00,2017-11-12 23:59:59,"150:148,200:149,250:150,300:151,1000:152,1001:148",draw_title_170407.png,"-666,-126",draw_content_170407.jpg,0,0,2,0,0,96:1001,96,0,0,0,0,0,,0
62,0,1,2017-11-01 00:00:00,2017-12-07 10:00:00,"8:153,9:154",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
63,0,1,2017-11-01 00:00:00,2017-12-07 10:00:00,"8:153,9:154",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0
